position,value,error
0,0.54882,0.01785
0.1,0.52343,0.01716
0.1,0.53179,0.02021
0.19,0.58018,0.01808
0.22,0.61669,0.01449
0.24,0.61342,0.02268
0.26,0.6107,0.02421
0.28,0.60466,0.01849
0.3,0.63451,0.02081
0.32,0.60633,0.02266
0.34,0.6171,0.02477
0.36,0.62806,0.0218
0.38,0.59275,0.02704
0.4,0.61488,0.02515
0.42,0.61263,0.02626
0.44,0.6382,0.02057
0.46,0.61453,0.02477
0.48,0.61491,0.02182
0.5,0.61096,0.02324
0.52,0.57686,0.0231
0.54,0.62168,0.02554
0.56,0.58859,0.02351
0.58,0.62532,0.02197
0.6,0.60608,0.02404
0.62,0.63051,0.02008
0.64,0.59331,0.02004
0.66,0.62745,0.02063
0.68,0.59615,0.02324
0.7,0.61254,0.02294
0.72,0.60523,0.02339
0.74,0.57535,0.02168
0.76,0.61962,0.02047
0.78,0.60555,0.02114
0.8,0.61136,0.02399
0.82,0.58704,0.02159
0.84,0.5721,0.01928
0.86,0.55338,0.02537
0.88,0.61124,0.02132
0.9,0.59795,0.02082
0.92,0.53349,0.02074
0.94,0.60074,0.0217
0.96,0.56333,0.01634
0.98,0.52455,0.01887
1,0.54385,0.01926
1.04,0.5336,0.01489
1.06,0.49713,0.01773
1.08,0.5234,0.01828
1.1,0.50176,0.02001
1.12,0.4916,0.01658
1.16,0.50408,0.0151
1.18,0.485,0.01645
1.2,0.48642,0.01775
1.22,0.49088,0.01569
1.26,0.47668,0.01632
1.28,0.48556,0.01647
1.3,0.45255,0.015
1.34,0.45825,0.01778
1.38,0.45383,0.01412
1.45,0.43446,0.01644
1.5,0.47193,0.01705
1.55,0.45202,0.01679
1.6,0.44599,0.01618
1.65,0.44893,0.01435
1.7,0.44309,0.01749
1.78,0.42638,0.01391
1.87,0.38897,0.0175
1.96,0.44644,0.01973
2.13,0.43012,0.02332
2.22,0.42477,0.01256
2.31,0.43558,0.01609
2.48,0.39683,0.01472
